Aktywny (0 lub 1);Nazwa;Kategoria nadrzędna;Główna kategoria (0/1)
1;Piłki do koszykówki;Home;0
1;Spalding;Piłki do koszykówki;0
1;Wilson;Piłki do koszykówki;0
1;Molten;Piłki do koszykówki;0
1;Nike;Piłki do koszykówki;0
1;Jordan;Piłki do koszykówki;0
1;Mikasa;Piłki do koszykówki;0
1;Meteor;Piłki do koszykówki;0
1;Kosze do koszykówki;Home;0
1;Zestawy do koszykówki;Kosze do koszykówki;0
1;Tablice do koszykówki;Kosze do koszykówki;0
1;Obręcze;Kosze do koszykówki;0
1;Siatki do koszykówki;Kosze do koszykówki;0
1;Mini tablice;Kosze do koszykówki;0
1;Uchwyty i mocowania;Kosze do koszykówki;0
1;Torby i plecaki;Home;0
1;Akcesoria koszykarskie;Home;0
1;Akcesoria do piłek;Akcesoria koszykarskie;0
1;Opaski i frotki;Akcesoria koszykarskie;0
1;Książki o koszykówce;Akcesoria koszykarskie;0
1;Prezent dla koszykarza;Home;0
1;Piłki do siatkówki;Home;0
1;Piłki do siatkówki Molten;Piłki do siatkówki;0
1;Piłki do siatkówki Mikasa;Piłki do siatkówki;0
1;Piłki do siatkówki Wilson;Piłki do siatkówki;0
1;Piłka nożna;Home;0
1;Piłka nożna halowa;Piłka nożna;0
1;Piłki do piłki nożnej;Piłka nożna;0
1;Akcesoria do piłki nożnej;Piłka nożna;0
1;Tenis;Home;0
1;Piłki do tenisa;Tenis;0
1;Piłki do piłki ręcznej;Home;0
1;Akcesoria do siatkówki;Home;0
1;Akcesoria do piłki ręcznej;Home;0
1;CZYSZCZENIE MAGAZYNU do -60 %;Home;0
